epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.480706,0.030958,0.899496,0.163265,0.463065,0.008585,0.908959,0.161706
1,0.456834,0.017862,0.877944,0.219787,0.450521,0.006968,0.887105,0.196866
2,0.451843,0.017042,0.869603,0.241220,0.446751,0.006248,0.881007,0.209933
3,0.450167,0.016619,0.867096,0.252664,0.442978,0.006077,0.873802,0.216855
4,0.446176,0.016533,0.859287,0.262637,0.444027,0.005820,0.876416,0.220324
5,0.444289,0.016398,0.855783,0.270588,0.439666,0.005905,0.867523,0.225987
6,0.443029,0.016665,0.852727,0.275456,0.437478,0.005685,0.863585,0.231367
7,0.441202,0.016389,0.849626,0.278055,0.436305,0.005788,0.861033,0.229183
8,0.439716,0.016321,0.846791,0.280382,0.435956,0.005747,0.860418,0.233892
9,0.438881,0.016633,0.844496,0.282774,0.435553,0.005557,0.859993,0.233351
10,0.438234,0.016224,0.844019,0.285186,0.442700,0.005509,0.874381,0.237372
11,0.438406,0.016246,0.844321,0.288676,0.431765,0.005747,0.852036,0.241771
12,0.437386,0.016264,0.842243,0.291505,0.433036,0.005978,0.854116,0.240616
13,0.436754,0.016246,0.841016,0.293458,0.433151,0.005317,0.855668,0.245012
14,0.435817,0.016143,0.839348,0.295781,0.435579,0.005323,0.860512,0.245860
15,0.434757,0.016156,0.837201,0.298339,0.433353,0.005488,0.855730,0.248073
16,0.435211,0.016275,0.837872,0.301187,0.430012,0.005430,0.849165,0.246564
