loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1, acc2, acc3, acc4, acc5, acc6, acc7, acc8, acc9, acc10, acc11, acc12, acc13, acc14, acc15, acc16, acc17, acc18, acc19, acc20, acc21, acc22, acc23, acc24, acc25
2.395143, 0.409412, 0.410346, 0.390855, 0.443003, 0.410346, 9822.50 M Ops, 732.81 M Ops, 96.27 M Ops, 8.9042 M, 0.4932 %, 1102.39 uJ, 0.361111, 0.769231, 0.200000, 0.162162, 0.600000, 0.285714, 0.413793, 0.272727, 0.218750, 0.580645, 0.121212, 0.411765, 0.451613, 0.294118, 0.674419, 0.093750, 0.378378, 0.500000, 0.968750, 0.517241, 0.348837, 0.470588, 0.866667, 0.448276, 0.000000, 0.259259
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1, acc2, acc3, acc4, acc5, acc6, acc7, acc8, acc9, acc10, acc11, acc12, acc13, acc14, acc15, acc16, acc17, acc18, acc19, acc20, acc21, acc22, acc23, acc24, acc25
2.420883, 0.405882, 0.407528, 0.379588, 0.445689, 0.407528, 9822.50 M Ops, 759.84 M Ops, 96.27 M Ops, 8.9042 M, 0.4940 %, 1126.71 uJ, 0.388889, 0.692308, 0.200000, 0.243243, 0.600000, 0.428571, 0.344828, 0.272727, 0.187500, 0.516129, 0.030303, 0.529412, 0.419355, 0.264706, 0.651163, 0.093750, 0.351351, 0.576923, 0.968750, 0.620690, 0.255814, 0.352941, 0.933333, 0.413793, 0.000000, 0.259259
