epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.792644,0.606611,0.774408,0.178289,0.000003,1.627657,1.457067,0.722313,0.163366,1.456059,0.845091
1,0.681751,0.533155,0.835005,0.140246,0.000001,1.472945,1.338088,0.810840,0.126749,1.338243,0.797338
2,0.625360,0.505150,0.882324,0.111386,0.000002,1.414728,1.302034,0.857292,0.104121,1.302417,0.781744
3,0.597598,0.491865,0.902450,0.096708,0.000002,1.386012,1.281562,0.871335,0.095736,1.280933,0.772025
4,0.581439,0.483022,0.909652,0.089320,0.000002,1.364506,1.266563,0.875066,0.089191,1.267111,0.766329
5,0.571282,0.476800,0.907438,0.085407,0.000002,1.354088,1.258088,0.868384,0.087316,1.258150,0.762628
6,0.563671,0.471842,0.902995,0.082799,0.000002,1.345891,1.252469,0.863416,0.084787,1.251973,0.760231
7,0.558001,0.467994,0.897087,0.081036,0.000002,1.340026,1.248796,0.855680,0.082673,1.249413,0.758843
8,0.553119,0.464479,0.890933,0.079730,0.000002,1.334037,1.244528,0.847255,0.081037,1.244840,0.757146
9,0.549181,0.461498,0.884223,0.078840,0.000002,1.332445,1.243696,0.837852,0.080370,1.243713,0.756596
10,0.545821,0.458753,0.877785,0.078290,0.000003,1.329714,1.241763,0.830517,0.079646,1.241794,0.755779
11,0.542996,0.456334,0.871930,0.077943,0.000002,1.328382,1.241313,0.823945,0.078829,1.241321,0.754960
12,0.540259,0.453782,0.865900,0.077817,0.000003,1.325789,1.238492,0.816282,0.079134,1.239318,0.754925
13,0.537841,0.451458,0.860553,0.077777,0.000002,1.325643,1.239293,0.811024,0.078240,1.238895,0.754858
14,0.535703,0.449142,0.855502,0.078006,0.000002,1.325317,1.239357,0.806118,0.077899,1.239228,0.754522
15,0.533691,0.446953,0.850482,0.078233,0.000002,1.322091,1.236323,0.801036,0.077758,1.236416,0.753042
16,0.531721,0.444672,0.845228,0.078596,0.000002,1.320870,1.234946,0.795509,0.077969,1.234633,0.752982
17,0.530168,0.442678,0.841103,0.079078,0.000002,1.322355,1.235686,0.787452,0.078794,1.235805,0.752774
18,0.528487,0.440456,0.837482,0.079656,0.000002,1.323271,1.236351,0.783315,0.079086,1.235381,0.752037
19,0.527010,0.438493,0.832747,0.080189,0.000001,1.325820,1.238622,0.778722,0.079410,1.238928,0.752631
20,0.525405,0.436636,0.831769,0.080451,0.000002,1.325769,1.238811,0.778906,0.079169,1.238881,0.752711
21,0.525321,0.436491,0.831250,0.080517,0.000002,1.325593,1.238574,0.778857,0.079231,1.238523,0.752636
22,0.525206,0.436307,0.831072,0.080589,0.000001,1.325562,1.238427,0.778806,0.079347,1.238065,0.752695
23,0.525119,0.436170,0.830608,0.080643,0.000001,1.323689,1.236327,0.776915,0.079593,1.237496,0.752451
