epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WK_norm,train_grad_eta_hat_norm,train_grad_WQ_absmax,train_grad_WK_absmax,train_grad_absmax_all,train_grad_total_norm_pre,train_clip_rate,train_singleton_frac,val_loss,val_mse,val_mae
0,0.392598,0.392598,0.528529,28.099478,0.186625,0.500000,0.944069,0.048205,0.440906,0.918173,29585.965088,469776.447266,0.000000,19896.076477,394717.707031,486671.781250,614268.515625,1.000000,0.056539,0.376501,0.376501,0.523559
1,0.343530,0.343530,0.497148,30.210461,0.185009,0.500000,0.942474,0.049822,0.432553,0.920383,4887.012573,33555.189758,0.000000,2979.144272,32264.249084,34751.599182,55938.732544,1.000000,0.059579,0.344127,0.344127,0.501504
2,0.317132,0.317132,0.477280,31.587042,0.184294,0.500000,0.947322,0.045815,0.447135,0.946244,83389.379364,185555.715759,0.000000,65397.031395,155555.029785,175926.637207,270412.141968,1.000000,0.064787,0.323136,0.323136,0.485146
3,0.302334,0.302334,0.464274,40.365116,0.185872,0.500000,0.950347,0.043639,0.462605,0.934963,16243.274963,61780.220459,0.000000,11901.887573,41568.720947,46078.173828,81342.445312,1.000000,0.068612,0.312213,0.312213,0.475308
4,0.293681,0.293681,0.456191,39.383469,0.196835,0.500000,0.947338,0.044686,0.465634,0.856049,71523.342285,187491.552734,0.000000,59130.719238,149937.727539,273475.371094,396610.941406,1.000000,0.070872,0.304336,0.304336,0.466792
5,0.287577,0.287577,0.450193,35.636150,0.199759,0.500000,0.947099,0.043865,0.469111,0.825089,467195740.748871,626359877.855957,0.000000,422849988.907196,598042907.556152,598057377.335693,947333593.641602,1.000000,0.075675,0.297942,0.297942,0.460310
6,0.282433,0.282433,0.444082,47.243378,0.207720,0.500000,0.948178,0.042567,0.484046,0.796271,13667.182083,65265.811279,0.000000,10864.867004,50516.662598,53487.667480,87561.207275,1.000000,0.062432,0.294400,0.294400,0.453363
7,0.275998,0.275998,0.437380,39.004890,0.212266,0.500000,0.948938,0.041644,0.496899,0.770377,37125.564514,145453.924194,0.000000,31463.537567,128802.800598,129545.482178,161080.700684,1.000000,0.047816,0.285571,0.285571,0.445470
8,0.267475,0.267475,0.427570,35.808540,0.217631,0.500000,0.950238,0.040083,0.519146,0.773438,98192.237259,938494.643951,0.000000,86166.495956,640146.732498,641381.122864,964603.373352,1.000000,0.047679,0.274546,0.274546,0.432934
9,0.262544,0.262544,0.421605,31.451160,0.215582,0.500000,0.949285,0.040955,0.515333,0.778445,4487.286751,15347.891876,0.000000,3630.872940,10559.591736,21960.095642,30441.608276,1.000000,0.049114,0.270169,0.270169,0.431016
10,0.260034,0.260034,0.419393,34.921982,0.211295,0.500000,0.950780,0.040032,0.526522,0.757409,3686.437782,28216.770569,0.000000,2568.629810,24701.861572,41417.280029,63156.332458,1.000000,0.047587,0.272498,0.272498,0.430703
11,0.262299,0.262299,0.421691,43.300667,0.205293,0.500000,0.950769,0.041401,0.520862,0.757988,1083.033970,11686.108398,0.000000,807.136511,10301.118042,10839.116089,14277.378174,1.000000,0.045866,0.272819,0.272819,0.434694
