loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293829, 0.293934, 0.349147, 63.89 M Ops, 7.17 M Ops, 5.21 M Ops, 0.1535 M, 0.3940 %, 30.41 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293829, 0.293934, 0.349147, 63.89 M Ops, 7.17 M Ops, 5.21 M Ops, 0.1535 M, 0.3940 %, 30.41 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293829, 0.293934, 0.349147, 63.89 M Ops, 7.17 M Ops, 5.21 M Ops, 0.1535 M, 0.3940 %, 30.41 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293829, 0.293934, 0.349147, 63.89 M Ops, 7.17 M Ops, 5.21 M Ops, 0.1535 M, 0.3940 %, 30.41 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293829, 0.293934, 0.349147, 63.89 M Ops, 7.17 M Ops, 5.21 M Ops, 0.1535 M, 0.3940 %, 30.41 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.302312, 0.302213, 0.357037, 73.58 M Ops, 6.52 M Ops, 7.48 M Ops, 0.1615 M, 0.4168 %, 40.27 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.300379, 0.300154, 0.355018, 72.26 M Ops, 6.38 M Ops, 7.40 M Ops, 0.1604 M, 0.4189 %, 39.79 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.288509, 0.288751, 0.345964, 74.11 M Ops, 7.34 M Ops, 5.66 M Ops, 0.1619 M, 0.4058 %, 32.65 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.291456, 0.291772, 0.346935, 103.64 M Ops, 11.73 M Ops, 5.81 M Ops, 0.1870 M, 0.3827 %, 37.30 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.291461, 0.291753, 0.346934, 103.64 M Ops, 11.75 M Ops, 5.81 M Ops, 0.1870 M, 0.3827 %, 37.31 uJ
